Pas;ECinetica;EPotencial;ETotal;Temperatura
0;319.035;-166.741;-134.837;0,498491
1;316.143;-166.452;-134.837;0,493974
2;311.341;-165.972;-134.837;0,486471
3;304.659;-165.303;-134.837;0,476029
4;296.147;-164.452;-134.837;0,462729
5;285.889;-163.425;-134.836;0,446702
6;274.012;-162.237;-134.836;0,428144
7;260.698;-160.904;-134.834;0,407341
8;246.198;-159.452;-134.833;0,384684
9;230.836;-157.914;-134,83;0,360681
10;215.015;-156.329;-134.827;0,335961
11;199.208;-154.745;-134.824;0,311263
12;183.944;-153.221;-134.826;0,287412
13;16.977;-151,8;-134.823;0,265266
14;15.722;-150.542;-134,82;0,245656
15;146.764;-149,5;-134.823;0,229318
16;138.761;-148.698;-134.822;0,216814
17;133.428;-148,17;-134.827;0,208481
18;130.808;-147.909;-134.828;0,204388
19;130.778;-147.908;-134,83;0,20434
20;133.057;-148.144;-134.838;0,207901
21;137.243;-148.565;-134.841;0,214443
22;142.858;-149,13;-134.844;0,223216
23;149.389;-149.786;-134.847;0,23342
24;156.332;-150.483;-134,85;0,244268
25;16.323;-151.181;-134.858;0,255046
26;169.698;-151.829;-134,86;0,265152
27;175.439;-152,41;-134.866;0,274123
28;180.255;-152.892;-134.867;0,281648
29;184.043;-153.277;-134.872;0,287567
30;18.679;-153.551;-134.872;0,291859
31;18.856;-153.727;-134.871;0,294625
32;189.476;-153.817;-134,87;0,296056
33;189.698;-153.844;-134.874;0,296403
34;189.402;-153.813;-134.873;0,295941
35;188.763;-153.754;-134.878;0,294941
36;187.935;-153,67;-134.877;0,293649
37;187.049;-153.587;-134.882;0,292264
38;186.204;-153.502;-134.881;0,290944
39;185.473;-153.423;-134.876;0,289801
40;184.906;-153.366;-134.875;0,288915
41;184.541;-153.335;-134.881;0,288345
42;184.406;-153.327;-134.886;0,288135
43;184.524;-153.333;-134.881;0,288318
44;184.905;-153.371;-134.881;0,288914
45;185.553;-153.436;-134.881;0,289926
46;186.454;-153.532;-134.887;0,291335
47;187.583;-153.651;-134.892;0,293098
48;188.899;-153.783;-134.893;0,295155
49;190.357;-153.929;-134.893;0,297433
50;191.913;-154.085;-134.893;0,299864
51;19.353;-154.252;-134.899;0,30239
52;195.184;-154.417;-134.899;0,304976
53;196.872;-154.586;-134.899;0,307613
54;198.606;-154.759;-134.899;0,310323
55;200.415;-154,94;-134.898;0,313148
56;202.336;-155.143;-134.909;0,31615
57;204.409;-155,35;-134.909;0,319389
58;206.661;-155.575;-134.909;0,322908
59;209.099;-155.819;-134.909;0,326717
60;211.701;-156.079;-134.909;0,330782
61;214.409;-156.345;-134.904;0,335013
62;217.135;-156.624;-134.911;0,339273
63;21.977;-156.888;-134.911;0,343391
64;22,22;-157.137;-134.917;0,347188
65;224.324;-157.356;-134.923;0,350506
66;226.067;-157,53;-134.923;0,353229
67;227.391;-157.662;-134.923;0,355298
68;228.297;-157.758;-134.929;0,356714
69;22.882;-157,81;-134.928;0,357532
70;229.022;-157,83;-134.928;0,357846
71;228.975;-157.825;-134.927;0,357773
72;228.755;-157.808;-134.932;0,35743
73;228.429;-157.791;-134.948;0,35692
74;228.042;-157.753;-134.948;0,356316
75;227.609;-157,71;-134.949;0,35564
76;22.711;-157,66;-134.949;0,354859
77;226.491;-157.599;-134,95;0,353891
78;225.674;-157.534;-134.967;0,352615
79;224.567;-157.419;-134.962;0,350885
80;223.081;-157.271;-134.962;0,348565
81;221.155;-157.078;-134.963;0,345555
82;21.877;-156.856;-134.979;0,341827
83;215.962;-156.591;-134.995;0,33744
84;212.831;-156.272;-134.988;0,332548
85;209.539;-155.941;-134.987;0,327405
86;206.302;-155.621;-134.991;0,322347
87;203.375;-155.327;-134,99;0,317774
88;201.028;-155.102;-134.999;0,314107
89;199.519;-154.955;-135.003;0,311748
90;199.062;-154.914;-135.008;0,311034
91;199.803;-154.988;-135.007;0,312192
92;201.797;-155.193;-135.013;0,315308
93;205.007;-155.515;-135.014;0,320324
94;209.309;-155.952;-135.021;0,327046
95;214.517;-156.474;-135.022;0,335183
96;220.408;-157,07;-135.029;0,344388
97;226.754;-157.711;-135.036;0,354304
98;233.338;-158.376;-135.042;0,364591
99;239.963;-159.045;-135.049;0,374943
100;246.454;-159.695;-135.049;0,385085
101;252.653;-160.305;-135.039;0,39477
102;258.413;-160.887;-135.045;0,40377
103;263.603;-161.406;-135.046;0,411879
