Pas,ECinetica,EPotencial,ETotal,Temperatura
0,15.9513,-166.789,-150.837,0.249238
1,15.8056,-166.643,-150.837,0.246962
2,15.5645,-166.402,-150.837,0.243196
3,15.2311,-166.068,-150.837,0.237986
4,14.8095,-165.646,-150.837,0.231399
5,14.3058,-165.142,-150.836,0.223528
6,13.7276,-164.563,-150.836,0.214495
7,13.0849,-163.92,-150.835,0.204452
8,12.3897,-163.224,-150.834,0.193589
9,11.6563,-162.49,-150.833,0.182129
10,10.9012,-161.733,-150.832,0.170331
11,10.1429,-160.974,-150.831,0.158483
12,9.40127,-160.231,-150.83,0.146895
13,8.6968,-159.525,-150.828,0.135888
14,8.04971,-158.877,-150.827,0.125777
15,7.47878,-158.305,-150.826,0.116856
16,7.00018,-157.826,-150.825,0.109378
17,6.62643,-157.451,-150.825,0.103538
18,6.36546,-157.19,-150.825,0.0994602
19,6.22013,-157.045,-150.825,0.0971896
20,6.18811,-157.014,-150.825,0.0966892
21,6.26211,-157.088,-150.826,0.0978455
22,6.43065,-157.258,-150.827,0.100479
23,6.67894,-157.507,-150.828,0.104359
24,6.99006,-157.819,-150.829,0.10922
25,7.34606,-158.176,-150.83,0.114782
26,7.72909,-158.56,-150.831,0.120767
27,8.12227,-158.955,-150.832,0.126911
28,8.51045,-159.343,-150.833,0.132976
29,8.88063,-159.714,-150.834,0.13876
30,9.22233,-160.056,-150.834,0.144099
31,9.52764,-160.362,-150.834,0.148869
32,9.79117,-160.626,-150.834,0.152987
33,10.0099,-160.844,-150.834,0.156405
34,10.183,-161.023,-150.84,0.15911
35,10.3114,-161.151,-150.84,0.161116
36,10.3976,-161.237,-150.839,0.162462
37,10.445,-161.284,-150.839,0.163203
38,10.4583,-161.302,-150.844,0.16341
39,10.4422,-161.286,-150.844,0.163159
40,10.4019,-161.245,-150.844,0.16253
41,10.3426,-161.186,-150.843,0.161604
42,10.2692,-161.112,-150.843,0.160456
43,10.1861,-161.04,-150.854,0.159158
44,10.0976,-160.951,-150.853,0.157776
45,10.0073,-160.861,-150.853,0.156364
46,9.91829,-160.771,-150.853,0.154973
47,9.83333,-160.692,-150.858,0.153646
48,9.75473,-160.613,-150.858,0.152418
49,9.68443,-160.548,-150.864,0.151319
50,9.62405,-160.493,-150.869,0.150376
51,9.57485,-160.444,-150.869,0.149607
52,9.5378,-160.407,-150.869,0.149028
53,9.51348,-160.383,-150.869,0.148648
54,9.50218,-160.382,-150.88,0.148472
55,9.50373,-160.384,-150.88,0.148496
56,9.51759,-160.398,-150.88,0.148712
57,9.54291,-160.423,-150.88,0.149108
58,9.57857,-160.464,-150.886,0.149665
59,9.62325,-160.504,-150.88,0.150363
60,9.6755,-160.562,-150.886,0.15118
61,9.73389,-160.62,-150.886,0.152092
62,9.7971,-160.683,-150.886,0.15308
63,9.86409,-160.745,-150.881,0.154126
64,9.93414,-160.815,-150.881,0.155221
65,10.0071,-160.893,-150.886,0.156361
66,10.0833,-160.964,-150.881,0.157551
67,10.1637,-161.044,-150.881,0.158807
68,10.25,-161.131,-150.881,0.160156
69,10.3446,-161.225,-150.88,0.161634
70,10.4504,-161.33,-150.88,0.163287
71,10.5707,-161.456,-150.885,0.165168
72,10.7092,-161.594,-150.885,0.167331
73,10.8691,-161.754,-150.885,0.16983
74,11.0534,-161.938,-150.885,0.17271
75,11.2644,-162.149,-150.885,0.176006
76,11.5031,-162.388,-150.885,0.179736
77,11.7696,-162.654,-150.885,0.1839
78,12.0629,-162.959,-150.896,0.188483
79,12.3807,-163.288,-150.907,0.193448
80,12.7196,-163.632,-150.913,0.198744
81,13.0758,-163.989,-150.913,0.20431
82,13.4448,-164.358,-150.913,0.210076
83,13.8221,-164.741,-150.919,0.21597
84,14.2031,-165.133,-150.93,0.221924
85,14.5836,-165.519,-150.936,0.227869
86,14.9595,-165.895,-150.936,0.233742
87,15.3273,-166.258,-150.931,0.239489
88,15.6839,-166.62,-150.936,0.245061
89,16.0266,-166.963,-150.936,0.250416
90,16.3532,-167.284,-150.931,0.255518
91,16.6616,-167.598,-150.936,0.260338
92,16.9505,-167.882,-150.931,0.264852
93,17.2186,-168.15,-150.931,0.26904
94,17.465,-168.402,-150.937,0.27289
95,17.6891,-168.626,-150.937,0.276392
96,17.8907,-168.827,-150.937,0.279542
97,18.0698,-169.006,-150.937,0.28234
98,18.2268,-169.174,-150.947,0.284794
99,18.3626,-169.304,-150.942,0.286915
