Pas;ECinetica;EPotencial;ETotal;Temperatura
0;31,91;-166.748;-134.838;0,498594
1;316.395;-166.477;-134.838;0,494367
2;311.874;-166.025;-134.838;0,487304
3;305.538;-165.392;-134.838;0,477404
4;297.404;-164.579;-134.838;0,464694
5;287.518;-163,59;-134.838;0,449248
6;275.975;-162.435;-134.837;0,431211
7;26.293;-161.129;-134.836;0,410828
8;248.622;-159.697;-134.834;0,388472
9;233.385;-158,17;-134.832;0,364664
10;217.655;-156.594;-134.829;0,340086
11;201.964;-155.022;-134.825;0,315569
12;18.691;-153.512;-134.822;0,292046
13;173.109;-152.129;-134.818;0,270482
14;161.137;-150.929;-134.815;0,251776
15;151.458;-149.964;-134.819;0,236654
16;144.371;-149.261;-134.824;0,225579
17;139.968;-148.821;-134.824;0,218701
18;138.142;-148.646;-134.832;0,215846
19;138.606;-148.695;-134.834;0,216572
20;140.951;-148.932;-134.837;0,220236
21;144.699;-149,31;-134,84;0,226092
22;149.362;-149.785;-134.848;0,233379
23;154.485;-150.299;-134.851;0,241383
24;159.672;-150,82;-134.852;0,249487
25;164.607;-151,32;-134.859;0,257199
26;169.056;-151.766;-134,86;0,26415
27;172.863;-152.147;-134,86;0,270099
28;175.946;-152.455;-134,86;0,274916
29;178.285;-152.688;-134,86;0,278571
30;179.912;-152.851;-134.859;0,281113
31;180.901;-152.954;-134.864;0,282659
32;181.356;-153,01;-134.874;0,28337
33;181.399;-153.019;-134.879;0,283436
34;181.157;-152.994;-134.878;0,283057
35;180.756;-152.958;-134.883;0,282431
36;180.314;-152.913;-134.882;0,28174
37;17.993;-152.886;-134.893;0,281141
38;179.686;-152.861;-134.892;0,280759
39;179.641;-152.862;-134.897;0,280689
40;179.837;-152.881;-134.897;0,280996
41;18,03;-152.933;-134.903;0,281718
42;181.043;-153.013;-134.908;0,282879
43;182.071;-153.126;-134.919;0,284486
44;183.382;-153.258;-134.919;0,286534
45;184.966;-153.422;-134.925;0,289009
46;186.802;-153.611;-134.931;0,291877
47;188.852;-153.822;-134.937;0,295082
48;191.062;-154.054;-134.948;0,298535
49;193.357;-154.284;-134.949;0,30212
50;195.649;-154.514;-134.949;0,305701
51;197.851;-154,74;-134.955;0,309142
52;19.989;-154.945;-134.956;0,312328
53;201.721;-155.128;-134.956;0,315189
54;203.339;-155.289;-134.956;0,317717
55;204.779;-155.444;-134.966;0,319967
56;206.109;-155.576;-134.965;0,322046
57;207.419;-155.707;-134.965;0,324093
58;20,88;-155.844;-134.964;0,326249
59;210.325;-156.002;-134.969;0,328633
60;212.042;-156.173;-134.969;0,331315
61;21.396;-156.365;-134.969;0,334313
62;216.058;-156.575;-134.969;0,337591
63;218.291;-156.799;-134,97;0,341079
64;220.597;-157.035;-134.976;0,344682
65;222.915;-157.273;-134.981;0,348305
66;225.192;-157.501;-134.981;0,351863
67;227.388;-157,72;-134.982;0,355294
68;229.481;-157,93;-134.981;0,358563
69;231.462;-158.138;-134.992;0,36166
70;233.338;-158.326;-134.992;0,36459
71;235.118;-158.498;-134.986;0,367373
72;236.815;-158.668;-134.986;0,370024
73;238.436;-158.835;-134.992;0,372556
74;239.982;-158.995;-134.997;0,374972
75;241.448;-159.148;-135.003;0,377263
76;242.824;-159,28;-134.997;0,379412
77;244.096;-159.407;-134.997;0,3814
78;245.254;-159.534;-135.008;0,383209
79;24.629;-159.637;-135.008;0,384828
80;247.204;-159.734;-135.014;0,386257
81;248.006;-159.814;-135.014;0,38751
82;248.712;-159.885;-135.013;0,388613
83;249.349;-159.943;-135.008;0,389607
84;249.947;-160.008;-135.013;0,390542
85;25.054;-160.056;-135.002;0,391468
86;251.155;-160.123;-135.007;0,392429
87;25.181;-160.183;-135.002;0,393453
88;25.251;-160.242;-134.991;0,394546
89;253.239;-160,31;-134.986;0,395687
90;253.968;-160.383;-134.986;0,396824
91;254.654;-160.446;-134.981;0,397897
92;255.256;-160.507;-134.981;0,398838
93;255.738;-160.555;-134.981;0,399591
94;256.078;-160,6;-134.992;0,400121
95;25.627;-160.619;-134.992;0,400423
96;256.332;-160.631;-134.998;0,400518
97;256.293;-160.621;-134.992;0,400458
98;256.203;-160.612;-134.992;0,400317
99;256.117;-160.614;-135.002;0,400183
